ResponseID,likelihood to recommend,reasons for score
R_87UiHwLKeUgDD13,10,"""Excellent platform, highly responsive customer service."""
R_6QoHw6gJXviokW9,9,the variety of questions and the ability to design the flow.
R_79YcAwOpimm1Xnf,10,low cost well supported
R_bf2QzDYJKPHhZCR,9,"""Easy to use interface, variety of engagement options, highly responsive sales rep (SANITIZED), mobile enabled"""
R_6EcW9soQOCGkPDD,10,It is a great tool for online surveying.  It gives you an incredible amount of flexibility in question design and integration.
R_5oIXWM94w7Q8bk1,9,Don't know of a better competing product
R_6LjBCX0AUUhPZMp,6,Need more time to experience stable custom-built dashboard.  Delays and impact on project delivarables last survey period.
R_eJPglWBD8VQ9Rkx,10,The service is great and the product has all of the cool features that we need to run our surveys.
R_3UabPEcaMex5HdH,9,"""I love the look of your surveys and the ease of creating, administering, and analyzing the surveys."""
R_8wCJqVj27S4MuJ7,8,It's a pretty powerful tool with good tech support
R_8q6BjJ4HOdZx0Ff,8,"""we are happy, but not over the moon yet."""
R_2rGqP1GEKCpFHuJ,9,We are satisfied with the survey tool - easy to use and let's us do everything we need to do
R_3Wbww2BBtGgvdqt,7,"""I know itÂ´s a bussiness but some important features are only available in expensive packages and dor small - middle companies like us, is hard to afford it."""
R_aeYlf2LxHcvaYIJ,10,"""It's an excellent tool, and does just about everything in terms of survey administration that I want it to."""
R_79Sg1pc4IOdh64d,10,Qualtrics has features that other survey tools don't have.
R_6zNdkkYqJER8mPz,8,"""Overall excellent platform, but some difficulty reaching support when you need it, though once reached they do a very good job."""
R_4TS4bVI5iQ5w6Ox,8,"""Very useable tool, allowing sharing of surveys at admin level. Market leading software"""
R_5gRWSe7nTP4ewF7,9,Very satisfied with product and support.
R_6XrTdiVGF4N0KLX,9,"""I like Qualtrics because it is intuitive but also advanced. It makes my job easier. I've also recommended it to several people, so it is a honest score."""
R_cMVr5vFm3G96s3r,7,"""Great tool and customer service, but needs improvement on the reporting tab to make it more user friendly."""
R_eEtRQPUAURpGr0p,10,good product that keeps being improved. / good customer service
R_aWbNegdVP6ApWu1,9,
R_1HTog6GMcLTOi7H,10,"""Qualtrics has the best survey software on the market today, I'm thrilled with the features and the service."""
R_diYJ1Ducchgl7MN,8,The user interface is great and easy-to-use!
R_6XAQuNancHypZ2Z,10,
R_3WCklZI7kjq9oCp,10,"""Awesome product, awesome support."""
